resizing_size,neurons_1,neurons_2,neurons_3,dropout_rate,activation,train_loss,train_acc,es_loss,es_acc,val_loss,val_acc
32,512,512,,0.2,tanh,1.1899718046188354,0.5846354365348816,1.5038468837738037,0.453125,1.5200320482254028,0.41796875
32,512,512,,0.4,relu,1.3206205368041992,0.5364583134651184,1.549981713294983,0.44140625,1.5780588388442993,0.35546875
32,512,512,,0.4,tanh,0.9901273846626282,0.6627604365348816,1.4915010929107666,0.46875,1.5257437229156494,0.43359375
32,512,512,128.0,0.0,relu,1.2444158792495728,0.5455729365348816,1.5209407806396484,0.42578125,1.524745225906372,0.41796875
32,512,512,128.0,0.0,tanh,0.9995400309562683,0.6354166865348816,1.5437169075012207,0.44921875,1.5578783750534058,0.421875
32,512,512,128.0,0.2,relu,1.04883873462677,0.62890625,1.4997003078460693,0.453125,1.535351276397705,0.44921875
32,512,512,128.0,0.2,tanh,1.1698135137557983,0.5625,1.5470736026763916,0.4375,1.5730459690093994,0.390625
32,512,512,128.0,0.4,relu,1.367153525352478,0.5143229365348816,1.6353650093078613,0.41015625,1.6767224073410034,0.3671875
32,512,512,128.0,0.4,tanh,1.350180745124817,0.4817708432674408,1.5695078372955322,0.390625,1.6038118600845337,0.35546875
32,512,512,256.0,0.0,relu,1.220631718635559,0.5546875,1.5009801387786865,0.46484375,1.5408416986465454,0.4375
32,512,512,256.0,0.0,tanh,1.118869423866272,0.58203125,1.545527458190918,0.4609375,1.5881681442260742,0.38671875
32,512,512,256.0,0.2,relu,0.9571716785430908,0.66796875,1.529066801071167,0.46875,1.6062462329864502,0.4375
32,512,512,256.0,0.2,tanh,1.0737656354904175,0.6106770634651184,1.4952260255813599,0.45703125,1.5785640478134155,0.390625
32,512,512,256.0,0.4,relu,1.394811987876892,0.51953125,1.6332240104675293,0.4140625,1.6349644660949707,0.36328125
32,512,512,256.0,0.4,tanh,1.1453046798706055,0.5794270634651184,1.5348951816558838,0.44140625,1.5624089241027832,0.41015625
32,1024,256,,0.0,relu,1.0867626667022705,0.6276041865348816,1.5310078859329224,0.453125,1.5756299495697021,0.42578125
32,1024,256,,0.0,tanh,1.0663131475448608,0.63671875,1.5135953426361084,0.44140625,1.564720869064331,0.42578125
32,1024,256,,0.2,relu,1.0362871885299683,0.6432291865348816,1.5071101188659668,0.48046875,1.5535755157470703,0.44140625
32,1024,256,,0.2,tanh,1.002274513244629,0.6458333134651184,1.532454490661621,0.46484375,1.4927780628204346,0.453125
32,1024,256,,0.4,relu,1.1461023092269897,0.6263020634651184,1.5343589782714844,0.45703125,1.5946464538574219,0.40625
32,1024,256,,0.4,tanh,1.1705926656723022,0.5716145634651184,1.5039758682250977,0.45703125,1.5230196714401245,0.4453125
32,1024,256,128.0,0.0,relu,0.9433588981628418,0.6705729365348816,1.5555498600006104,0.4609375,1.6171053647994995,0.4296875
32,1024,256,128.0,0.0,tanh,1.2072149515151978,0.55078125,1.5524693727493286,0.4140625,1.5156424045562744,0.4296875
32,1024,256,128.0,0.2,relu,1.1627622842788696,0.5794270634651184,1.5231575965881348,0.421875,1.5385404825210571,0.40625
32,1024,256,128.0,0.2,tanh,1.1453431844711304,0.5677083134651184,1.5786361694335938,0.44921875,1.619809627532959,0.3515625
32,1024,256,128.0,0.4,relu,1.3512606620788574,0.5494791865348816,1.569626808166504,0.4296875,1.5965015888214111,0.37109375
32,1024,256,128.0,0.4,tanh,1.4498577117919922,0.4596354067325592,1.628679871559143,0.40625,1.5939141511917114,0.3515625
32,1024,256,256.0,0.0,relu,0.9189501404762268,0.68359375,1.4869184494018555,0.48828125,1.6438943147659302,0.42578125
32,1024,256,256.0,0.0,tanh,1.23625910282135,0.5364583134651184,1.523497462272644,0.42578125,1.5830283164978027,0.36328125
32,1024,256,256.0,0.2,relu,1.0501723289489746,0.6197916865348816,1.5474083423614502,0.4765625,1.5481505393981934,0.421875
32,1024,256,256.0,0.2,tanh,1.164139747619629,0.5546875,1.5496865510940552,0.47265625,1.5831209421157837,0.375
32,1024,256,256.0,0.4,relu,1.0865617990493774,0.6484375,1.6581025123596191,0.4296875,1.6802996397018433,0.38671875
32,1024,256,256.0,0.4,tanh,1.449479103088379,0.4153645932674408,1.641863226890564,0.35546875,1.6068285703659058,0.35546875
32,1024,512,,0.0,relu,0.9411852955818176,0.6640625,1.4982868432998657,0.47265625,1.576481580734253,0.4375
32,1024,512,,0.0,tanh,1.1683326959609985,0.6002604365348816,1.5080286264419556,0.45703125,1.5412516593933105,0.3984375
32,1024,512,,0.2,relu,1.123214602470398,0.6184895634651184,1.5174072980880737,0.45703125,1.5651605129241943,0.41015625
32,1024,512,,0.2,tanh,0.9900963306427002,0.640625,1.4912554025650024,0.4921875,1.5175254344940186,0.41796875
32,1024,512,,0.4,relu,1.2588528394699097,0.5703125,1.5529736280441284,0.42578125,1.594113826751709,0.4140625
32,1024,512,,0.4,tanh,1.0916544198989868,0.6197916865348816,1.5319019556045532,0.4609375,1.534608006477356,0.41796875
32,1024,512,128.0,0.0,relu,1.2766622304916382,0.546875,1.5411314964294434,0.42578125,1.5517436265945435,0.4140625
32,1024,512,128.0,0.0,tanh,1.2297948598861694,0.5638020634651184,1.5895702838897705,0.43359375,1.5901774168014526,0.3671875
32,1024,512,128.0,0.2,relu,1.2535220384597778,0.55078125,1.5450880527496338,0.43359375,1.604234218597412,0.375
32,1024,512,128.0,0.2,tanh,1.3023650646209717,0.5,1.5901494026184082,0.40234375,1.5952316522598267,0.37109375
32,1024,512,128.0,0.4,relu,1.4823627471923828,0.4544270932674408,1.6105718612670898,0.40234375,1.6229135990142822,0.38671875
32,1024,512,128.0,0.4,tanh,1.3331712484359741,0.4895833432674408,1.618078589439392,0.41015625,1.638676404953003,0.38671875
32,1024,512,256.0,0.0,relu,1.2387574911117554,0.5546875,1.5237462520599365,0.46875,1.5621285438537598,0.4375
32,1024,512,256.0,0.0,tanh,1.13309645652771,0.5859375,1.5524680614471436,0.4375,1.6306102275848389,0.38671875
32,1024,512,256.0,0.2,relu,1.1742565631866455,0.5846354365348816,1.5332785844802856,0.4375,1.5686906576156616,0.42578125
32,1024,512,256.0,0.2,tanh,1.161813497543335,0.5677083134651184,1.569176197052002,0.4375,1.5840120315551758,0.3828125
32,1024,512,256.0,0.4,relu,1.362188696861267,0.5065104365348816,1.582813024520874,0.40625,1.6222563982009888,0.3671875
32,1024,512,256.0,0.4,tanh,1.4087015390396118,0.44921875,1.6143794059753418,0.37109375,1.6014366149902344,0.37109375
64,512,256,,0.0,relu,0.7732123732566833,0.7578125,1.591362714767456,0.44921875,1.642806053161621,0.47265625
64,512,256,,0.0,tanh,1.5184956789016724,0.4010416567325592,1.7253665924072266,0.39453125,1.7506701946258545,0.359375
